Student_ID,Country,IELTS_Score,German_Score,Academic_Percentage,Backlogs,Course_Level,Tuition_Fee_USD,Sponsor_Available,Bank_Balance_USD,Work_Experience_Years,Gap_Years,Previous_Rejection,Visa_Outcome
1,USA,7.5,0,85,0,Master,30000,Yes,50000,2,0,No,Approved
2,UK,6.0,0,65,4,Bachelor,20000,No,15000,0,2,Yes,Rejected
3,Germany,0,80,75,1,Master,12000,Yes,25000,1,0,No,Approved
4,Canada,6.5,0,70,2,Master,18000,Yes,30000,0,1,No,Approved
5,Australia,5.5,0,55,5,Bachelor,22000,No,10000,0,3,Yes,Rejected
6,Germany,0,60,60,3,Master,8000,No,12000,0,2,No,Rejected
7,USA,8.0,0,90,0,Master,45000,Yes,100000,3,0,No,Approved
8,UK,7.0,0,80,0,Master,25000,Yes,40000,2,0,No,Approved
9,Canada,6.0,0,60,4,Bachelor,15000,No,12000,0,2,Yes,Rejected
10,Australia,7.0,0,78,1,Master,20000,Yes,35000,1,0,No,Approved
11,USA,6.5,0,72,2,Bachelor,28000,Yes,45000,0,1,No,Approved
12,Germany,0,85,82,0,Master,5000,Yes,20000,2,0,No,Approved
13,UK,6.0,0,58,6,Bachelor,18000,No,8000,0,4,Yes,Rejected
14,Canada,7.0,0,84,0,Master,22000,Yes,42000,1,0,No,Approved
15,Australia,6.5,0,74,2,Bachelor,19000,Yes,28000,0,1,No,Approved
16,USA,5.5,0,50,8,Master,35000,No,5000,0,5,Yes,Rejected
17,Germany,0,70,68,2,Bachelor,0,Yes,15000,0,1,No,Approved
18,UK,7.5,0,88,0,Master,32000,Yes,60000,4,0,No,Approved
19,Canada,6.0,0,62,3,Bachelor,14000,No,18000,0,2,No,Rejected
20,Australia,6.5,0,70,1,Master,21000,Yes,32000,1,0,No,Approved
21,USA,7.0,0,76,1,Master,29000,Yes,55000,2,0,No,Approved
22,Germany,0,90,88,0,Master,0,Yes,30000,3,0,No,Approved
23,UK,5.5,0,52,7,Bachelor,17000,No,10000,0,3,Yes,Rejected
24,Canada,6.5,0,73,2,Master,20000,Yes,35000,0,1,No,Approved
25,Australia,6.0,0,64,3,Bachelor,18000,No,15000,0,2,Yes,Rejected
26,USA,7.5,0,81,0,Master,33000,Yes,65000,2,0,No,Approved
27,Germany,0,65,65,4,Bachelor,0,No,10000,0,2,No,Rejected
28,UK,7.0,0,82,0,Master,26000,Yes,48000,2,0,No,Approved
29,Canada,7.0,0,80,0,Master,23000,Yes,40000,1,0,No,Approved
30,Australia,5.5,0,54,6,Bachelor,16000,No,7000,0,4,Yes,Rejected
31,USA,6.5,0,70,2,Bachelor,27000,Yes,40000,0,1,No,Approved
32,Germany,0,75,72,1,Master,0,Yes,18000,1,0,No,Approved
33,UK,6.0,0,60,5,Bachelor,19000,No,12000,0,3,Yes,Rejected
34,Canada,6.5,0,71,2,Master,21000,Yes,31000,0,1,No,Approved
35,Australia,7.0,0,80,0,Master,22000,Yes,38000,2,0,No,Approved
36,USA,8.0,0,92,0,Master,40000,Yes,90000,4,0,No,Approved
37,Germany,0,80,78,0,Master,0,Yes,22000,2,0,No,Approved
38,UK,6.5,0,74,2,Bachelor,22000,Yes,33000,0,1,No,Approved
39,Canada,6.0,0,61,4,Bachelor,16000,No,14000,0,2,Yes,Rejected
40,Australia,6.5,0,72,1,Master,23000,Yes,36000,1,0,No,Approved
41,USA,7.0,0,78,1,Master,31000,Yes,58000,2,0,No,Approved
42,Germany,0,85,84,0,Master,0,Yes,28000,3,0,No,Approved
43,UK,5.5,0,51,8,Bachelor,18000,No,9000,0,4,Yes,Rejected
44,Canada,6.5,0,72,2,Master,22000,Yes,34000,0,1,No,Approved
45,Australia,6.0,0,66,3,Bachelor,19000,No,16000,0,2,No,Rejected
46,USA,7.5,0,83,0,Master,34000,Yes,68000,3,0,No,Approved
47,Germany,0,60,62,4,Bachelor,0,No,8000,0,2,No,Rejected
48,UK,7.0,0,84,0,Master,27000,Yes,49000,2,0,No,Approved
49,Canada,7.0,0,82,0,Master,24000,Yes,41000,1,0,No,Approved
50,Australia,6.0,0,58,5,Bachelor,17000,No,11000,0,3,Yes,Rejected
